文本内容,标签,文本长度
。为了提高高铁轴箱检修的速度和质量提出一种工业机器人辅助机器视觉的高铁轴箱自动检修系统通过机器视觉对需检修的高铁轴箱进行图像采集并进行图像处理并将处理的结果信息通过Profinet传递给西门子PLC进行处理分析机器人根据接收到的数据调整抓取轴箱的点位和姿态并对轴箱进行抓取经试验验证分析该方法的定位偏差最大为069 m m抓取的精准度达到9950满足实际生产的使用要求,机器视觉,184
。为了有效解决农田水利机械的调度问题提高设备利用率和管理效率文章设计了一种基于智能算法的调度优化系统该系统整合了数据采集数据预处理智能算法以及决策支持四个模块通过大规模农田实验验证该系统在水资源利用率能源消耗和作物产量等方面均优于传统方法研究表明该系统能有效提升水资源管理水平和农业生产效益为智慧农业发展提供新的技术路径实验结果证实了智能算法在农田水利机械调度优化中的应用价值为提高农业水利工程管理效率和推动农业现代化发展提供了重要支撑,智能算法,218
。为了构建燃煤电厂碳排放量预测模型针对燃煤机组普遍缺少入炉煤实时元素分析的问题依据某百万千瓦机组2023年入炉煤质信息以低位发热量挥发分硫分作为煤质划分依据采用Kmeans算法进行聚类分析通过相关性分析筛选碳排放量预测模型的输入参数基于贝叶斯优化的BP神经网络对聚类后各簇数据分别构建碳排放量预测模型并对升降负荷等工况进行模型测试结果显示经煤质聚类后的模型在预测碳排放量时准确性显著提高与未聚类的模型相比平均均方根误差和平均相对误差最优情况降低约534492特别是在变负荷工况下预测结果较准确该方法不仅能有效预测燃煤电厂的碳排放量还能在煤质复杂多变的情况下保持较高精度,聚类算法,284
。为了满足现代纺织工业高精度高效率的检测需求针对模拟电路控制涡流纺电清系统存在的控制精度低响应速度慢抗干扰能力差等问题设计一种基于单片机控制的涡流纺电清系统通过介绍该系统的结构和工作原理阐述其硬件设计软件设计及相关功能的具体实现并上机验证系统的可行性和有效性结果表明基于单片机控制的涡流纺电清系统采用ARM CortexM4单片机作为核心控制器结合数字滤波PID控制算法以及MODBUS通信协议控制精度和响应速度均优于传统模拟电路控制系统对纱线疵点的检测准确率达95以上系统响应时间小于10 ms具有良好的环境适应性系统扩展性和兼容性能够与其他纺织设备集成实现生产线智能化管理,单片机应用,288
。为了突破传统面点发酵过程中由温湿度波动发酵程度难以量化等导致的品质控制瓶颈设计了一种基于STM32嵌入式控制核心的面团发酵智能监测系统系统集成DHT22温湿度传感器HX711压力传感器及US100超声波传感器通过多模态传感融合技术实现面团发酵状态的三维监测环境参数体积变化内部压力结合嵌入式系统架构与自适应控制算法实时采集发酵数据并动态调节环境温湿度形成闭环反馈控制机制实验结果表明该系统可有效将发酵品质波动率控制在±5以内显著提升面点制品的孔隙结构均匀性与口感一致性该系统通过传感融合与自适应控制实现了面点发酵品质的量化调控为传统工艺标准化及文化科技化传承提供了可复用范式,单片机应用,288
。为了解决产生疵纱的管纱追溯周期长纱锭定位难的问题基于机器视觉技术研发一种细纱管追溯系统通过分析关键技术和构建系统方案确定采用QR码作为细纱管的编码标识给出编码标识的标示方法纱管识别装置与追溯定位方式以及数据传输存储与信息共享的工作模式并通过样机实测数据对比验证其理论可行性指出采用机器视觉技术的细纱管追溯系统纱管标识的识别率接近100每锭纱管可在80 ms内被识别能实现自动落纱与纱管自动识别及数据上传的无缝对接具有低成本高效率和操作方便等优势其使用有助于纺纱企业降低疵纱提升纺纱质量和生产效率,机器视觉,248
。为了解决大规模数据处理中存在的效率可靠性和安全性低下问题详细阐述了分布式数据库技术在大规模数据处理高可用性和故障恢复性能优化以及安全性保障等方面的应用结果表明分布式数据库技术的应用有效提升了数据处理能力确保了数据一致性增强了系统的高可用性和容灾能力为构建高效可靠安全的分布式数据库系统提供了重要参考以期为相关领域的技术实践和发展提供有力支持,数据库应用,171
。为了解决无人驾驶汽车平行泊车路径曲率不连续泊车效率低路径跟踪精度低等问题分析了圆弧直线圆弧型初始泊车路径的特点并采用五次多项式曲线进行路径规划为平衡路径长度与曲率基于路径最大曲率泊车所需空间及避障要求等约束条件构建目标函数旨在最小化最大曲率与泊车起点横坐标加权之和随后运用非线性动态自适应惯性权重的粒子群优化算法对泊车起点横坐标进行优化经过优化路径变得平缓光滑曲率连续基于模型预测控制的路径跟踪控制方法通过遗传算法优化预测时域和控制时域在保证跟踪精度的同时降低计算工作量并在百度Apollo自动驾驶开发者套件上完成实车验证试验结果表明车辆能够安全无碰撞地完成泊车验证了路径规划方法的有效性在降低计算量的前提下路径跟踪误差平均值较优化前降低了4348表明该方法能够更精确地跟踪规划路径,智能算法,342
。为了解决现有模糊测试工具在烟草物流系统领域面临的特定性限制和输入空间覆盖不足的问题提出了一种基于大语言模型的模糊测试用例生成方法该方法利用GPT4模型和Copilot模型通过自动化的prompt优化算法生成符合目标语言语法和语义约束的测试用例从而提高测试用例的多样性和覆盖率与传统的模糊测试器相比该方法能够为多种编程语言和系统提供有效的模糊测试支持为验证该方法的有效性通过选择C编译器和Java编译器作为被测对象进行实验实验结果表明该方法生成的测试用例的代码覆盖率比Csmith工具高出316比Hephaestus工具高出136,工业控制系统,265
。为了训练出一个稀疏的神经网络本文选用Logsum函数作为正则项交叉熵函数作为损失项建立模型随后用邻近梯度法对它进行求解其学习率用MetaLRScheduleNet网络训练得到在MNISTFashionMNISTCIFAR10和CIFAR100四个数据集上的数值实验结果表明在同样的学习率规则下用Logsum函数作为正则项比用其他能诱导稀疏的函数如向量1范数截尾向量1范数或向量12范数等作为正则项建立的模型能把网络训练得更稀疏在稀疏度近似的情况下用MetaLRScheduleNet训练得到的学习率比使用固定规则训练得到的网络有更高的正确率,神经网络,271
。为了识别和量化网络攻击下可能引发的生产运行系统影响基于过程危害和影响分析PHIA和贝叶斯网络BN理论建立了工业网络遭受攻击下的风险分析协同框架即过程影响贝叶斯网络PBN模型首先识别了危险因素及网络攻击可能引发的过程系统影响然后引入遗漏噪声逻辑门LNOR建立概率混合量化模型与优化的最大期望值算法EM结合解决了传统模型参数不确定性问题通过将PBN模型应用到连续搅拌釜与加热器CSTH过程系统中在生产网络发生不同攻击场景时实时更新预测生产故障概率并以攻击路径覆盖率PRC评估模型性能结果表明最大风险传播路径发生在组合攻击场景下相对于传统攻击树模型PRC显著提高分析结果有助于完善化工过程系统网络攻击路径识别和相关风险的定量评估为系统提供最优的风险防控部署策略,工业控制系统,328
